x,y,name,code
0.839,23.7542967330855,Aruba,ABW
0.465,38.08210942332,Afghanistan,AFG
0.532,19.3447264691643,Angola,AGO
0.809,3681.90734872491,Anguilla,AIA
0.967,4900.60274793156,Aland Islands,ALA
0.733,191.231730540029,Albania,ALB
0.845,2410.71428571429,Andorra,AND
0.835,2424.87679358018,United Arab Emirates,ARE
0.836,2684.88160846568,Argentina,ARG
0.733,2299.89892183288,Armenia,ARM
0.734,10734.09236191,American Samoa,ASM
0.783,440.325518131729,Antigua and Barbuda,ATG
0.935,21362.3189779917,Australia,AUS
0.885,24813.8939670932,Austria,AUT
0.751,65.24949924802,Azerbaijan,AZE
0.4,2.97066333087197,Burundi,BDI
0.89,16895.3955589734,Belgium,BEL
0.48,332.309703721617,Benin,BEN
0.402,6.37859903676998,Burkina Faso,BFA
0.57,112.334566653179,Bangladesh,BGD
0.782,7212.98794130751,Bulgaria,BGR
0.824,416.528907702397,Bahrain,BHR
0.79,246.197687133437,Bahamas,BHS
0.733,1271.76470588235,Bosnia and Herzegovina,BIH
0.876,804.733727810651,Saint Barthelemy,BLM
0.798,4647.68198244708,Belarus,BLR
0.715,514.113480138114,Belize,BLZ
0.901,4289.75751548994,Bermuda,BMU
0.662,386.834050805948,Bolivia,BOL
0.755,2008.32278610205,Brazil,BRA
0.785,384.7325251266,Barbados,BRB
0.856,137.965253008022,Brunei,BRN
0.605,298.208036899494,Bhutan,BTN
0.698,1210.90598908889,Botswana,BWA
0.35,36.5949786240329,Central African Republic,CAF
0.913,30529.3150034146,Canada,CAN
0.829,1720859.87261147,Cocos Islands,CCK
0.93,40500.2374356945,Switzerland,CHE
0.832,2639.47832414564,Chile,CHL
0.727,1229.32481932929,China,CHN
0.462,10.7935885039592,Ivory Coast,CIV
0.512,165.236621734392,Cameroon,CMR
0.433,122.087348463732,Democratic Republic of the Congo,COD
0.591,28.9556931828427,Republic of the Congo,COG
0.742,1585.000935103,Cook Islands,COK
0.72,731.684452814396,Colombia,COL
0.503,133.952757086502,Comoros,COM
0.646,127.197198909289,Cape Verde,CPV
0.766,3236.33481097024,Costa Rica,CRI
0.769,643.053488575681,Cuba,CUB
0.825,139.666774826122,Curacao,CUW
0.797,4000,Christmas Island,CXR
0.887,103.907838265191,Cayman Islands,CYM
0.85,3378.50521957019,Cyprus,CYP
0.87,18192.9553264605,Czech Republic,CZE
0.916,20172.8370404254,Germany,DEU
0.47,0,Djibouti,DJI
0.724,495.790586845756,Dominica,DMA
0.923,23587.34500364,Denmark,DNK
0.715,630.823790457908,Dominican Republic,DOM
0.736,413.749027646415,Algeria,DZA
0.732,529.1263212438,Ecuador,ECU
0.69,204.6827071954,Egypt,EGY
0.391,25.4273100012015,Eritrea,ERI
0.508,697.4154603528,Western Sahara,ESH
0.876,11708.1588010553,Spain,ESP
0.861,20151.1032629321,Estonia,EST
0.442,45.1839820783839,Ethiopia,ETH
0.883,28884.3249427918,Finland,FIN
0.727,106.623073735449,Fiji,FJI
0.888,15788.9769344116,France,FRA
0.872,2403.16828398441,Faroe Islands,FRO
0.64,0,Micronesia,FSM
0.684,23.2971257171146,Gabon,GAB
