date,close
2016-07-15,1
2016-07-18,3
2016-07-26,1
2016-08-02,2
2016-08-04,1
2016-08-08,1
2016-08-09,2
2016-08-10,3
2016-08-11,1
2016-08-12,4
2016-08-13,3
2016-08-15,1
2016-08-19,2
2016-08-22,1
2016-08-26,1
2016-08-29,1
2016-09-02,1
2016-09-06,1
2016-09-13,1
2016-09-14,1
2016-09-17,2
2016-09-18,3
2016-09-19,2
2016-09-20,2
2016-09-21,2
2016-09-23,1
2016-09-25,2
2016-09-27,1
2016-09-28,1
2016-09-29,1
2016-09-30,1
2016-10-01,13
2016-10-02,2
2016-10-03,1
2016-10-04,106
2016-10-05,727
2016-10-06,4300
2016-10-07,2415
2016-10-08,1124
2016-10-09,1281
2016-10-10,1461
2016-10-11,1462
2016-10-12,1007
2016-10-13,811
2016-10-14,721
2016-10-15,312
2016-10-16,324
2016-10-17,393
2016-10-18,303
2016-10-19,322
2016-10-20,275
2016-10-21,226
2016-10-22,195
2016-10-23,203
2016-10-24,285
2016-10-25,238
2016-10-26,186
2016-10-27,195
2016-10-28,130
2016-10-29,107
2016-10-30,107
2016-10-31,157
2016-11-01,148
2016-11-02,125
2016-11-03,113
2016-11-04,115
2016-11-05,76
2016-11-06,87
2016-11-07,106
2016-11-08,255
2016-11-09,179
2016-11-10,160
2016-11-11,147
2016-11-12,44
2016-11-13,75
2016-11-14,128
2016-11-15,55
2016-11-16,64
2016-11-17,51
2016-11-18,50
2016-11-19,29
2016-11-20,44
2016-11-21,49
2016-11-22,43
2016-11-23,51
2016-11-24,32
2016-11-25,43
2016-11-26,29
2016-11-27,52
2016-11-28,41
2016-11-29,64
2016-11-30,38
2016-12-01,39
2016-12-02,36
2016-12-03,22
2016-12-04,27
2016-12-05,48
2016-12-06,37
2016-12-07,47
2016-12-08,31
2016-12-09,25
2016-12-10,25
2016-12-11,29
2016-12-12,23
2016-12-13,52
2016-12-14,44
2016-12-15,573
2016-12-16,1849
2016-12-17,874
2016-12-18,813
2016-12-19,856
2016-12-20,714
2016-12-21,402
2016-12-22,326
2016-12-23,434
2016-12-24,350
2016-12-25,242
2016-12-26,275
2016-12-27,358
2016-12-28,362
